"key","response"
"_suspects_Pete Judsen_general_PETE_ALONELASTNIGHT","I didn't see anybody last night.  I just put on some music and tried to make the best of breaking down my life's work to sell for parts."
"_suspects_Pete Judsen_general_PETE_CATCH_IN_LIE","I never said anything about that. I don't know what you're talking about."
"_suspects_Pete Judsen_variations_0_NIGHTOF","I was alone at my restaurant, cleaning it out.  I can't believe we're closing down this week. Also, around 8:30 my daughter called me while she was going for a drive."
"_suspects_Pete Judsen_variations_0_DIDYOUKILLHER","Nope. I cook pigs, not people. Besides, I was at my restaurant all night, on the other side of town. Just ask my daughter, she called me while she was out, around 8:30."
"_suspects_Pete Judsen_variations_0_TELLABOUTTUCKER","Tucker Mitts was Betsy's head chef and is my daughter's boyfriend.  He says he loves her, but the guy worked for me for 5 years and I've seen how he is.  But Brandi won't listen to me. She was at his place last night before she went out"
"_suspects_Pete Judsen_variations_0_PETE_WHEREDAUGHTERGOING","You know, she didn't say.  She was just kind of rambling and kept apologizing"
"_suspects_Pete Judsen_variations_0_PETE_WHATSPEAKABOUTDAUGHTER","It was a strange conversation.  I think she was still very upset about being fired."
"_suspects_Pete Judsen_variations_0_PETE_BRANDICALLLASTNIGHT","Yeah, she called me around 8pm."
"_suspects_Pete Judsen_variations_1_DIDYOUKILLHER","No way!  But I'd like to help you out. I'll bet it was one of the guys working on redoing the walls.  Who else would have that much turpentine?"
"_suspects_Pete Judsen_variations_1_TELLABOUTTUCKER","Tucker Mitts was Betsy's head chef and is my daughter's boyfriend.  He says he loves her, but the guy worked for me for 5 years and I've seen how he is.  In fact.  You guys should take a close look at him.  I could totally see that snake dousing the place in turpentine, lighting a match and riding off into the sunset stinking rich."
